medal_type,medal_code,name,gender,nationality,discipline,event,code_athlete
Bronze Medal,3,MALONE Brody,Male,United States,Artistic Gymnastics,Men's Team,1959823
Bronze Medal,3,NEDOROSCIK Stephen,Male,United States,Artistic Gymnastics,Men's Team,1959865
Bronze Medal,3,RICHARD Frederick,Male,United States,Artistic Gymnastics,Men's Team,1959811
Gold Medal,1,LIAN Junjie,Male,China,Diving,Men's Synchronised 10m Platform,1901555
Gold Medal,1,YANG Hao,Male,China,Diving,Men's Synchronised 10m Platform,1901554
Silver Medal,2,DALEY Thomas,Male,Great Britain,Diving,Men's Synchronised 10m Platform,1900838
Silver Medal,2,WILLIAMS Noah,Male,Great Britain,Diving,Men's Synchronised 10m Platform,1900857
Bronze Medal,3,WIENS Rylan,Male,Canada,Diving,Men's Synchronised 10m Platform,1959146
Bronze Medal,3,ZSOMBOR-MURRAY Nathan,Male,Canada,Diving,Men's Synchronised 10m Platform,1959132
Gold Medal,1,McEWEN Tom,Male,Great Britain,Equestrian,Eventing Team,1970917
Gold Medal,1,COLLETT Laura,Female,Great Britain,Equestrian,Eventing Team,1970898
Gold Medal,1,CANTER Rosalind,Female,Great Britain,Equestrian,Eventing Team,1970892
Gold Medal,1,INGHAM Yasmin,Female,Great Britain,Equestrian,Eventing Team,1970912
Silver Medal,2,LAGHOUAG Karim Florent,Male,France,Equestrian,Eventing Team,1899846
Silver Medal,2,LANDOIS Stephane,Male,France,Equestrian,Eventing Team,1899847
Silver Medal,2,TOUZAINT Nicolas,Male,France,Equestrian,Eventing Team,1899866
Silver Medal,2,le COZ Gireg,Male,France,Equestrian,Eventing Team,1899848
Bronze Medal,3,KITAJIMA Ryuzo,Male,Japan,Equestrian,Eventing Team,1946432
Bronze Medal,3,OIWA Yoshiaki,Male,Japan,Equestrian,Eventing Team,1946434
Bronze Medal,3,TOMOTO Kazuma,Male,Japan,Equestrian,Eventing Team,1946438
Bronze Medal,3,TANAKA Toshiyuki,Male,Japan,Equestrian,Eventing Team,1946428
Gold Medal,1,BILES Simone,Female,United States,Artistic Gymnastics,Women's Team,1959861
Gold Medal,1,CAREY Jade,Female,United States,Artistic Gymnastics,Women's Team,1959819
Gold Medal,1,CHILES Jordan,Female,United States,Artistic Gymnastics,Women's Team,1959825
Gold Medal,1,LEE Sunisa,Female,United States,Artistic Gymnastics,Women's Team,1959866
Gold Medal,1,RIVERA Hezly,Female,United States,Artistic Gymnastics,Women's Team,1959814
Silver Medal,2,ANDREOLI Angela,Female,Italy,Artistic Gymnastics,Women's Team,1560761
Silver Medal,2,D'AMATO Alice,Female,Italy,Artistic Gymnastics,Women's Team,1551061
Silver Medal,2,ESPOSITO Manila,Female,Italy,Artistic Gymnastics,Women's Team,1560762
Silver Medal,2,IORIO Elisa,Female,Italy,Artistic Gymnastics,Women's Team,1560760
Silver Medal,2,VILLA Giorgia,Female,Italy,Artistic Gymnastics,Women's Team,1560759
Bronze Medal,3,ANDRADE Rebeca,Female,Brazil,Artistic Gymnastics,Women's Team,1953634
Bronze Medal,3,BARBOSA Jade,Female,Brazil,Artistic Gymnastics,Women's Team,1953624
Bronze Medal,3,OLIVEIRA Lorrane,Female,Brazil,Artistic Gymnastics,Women's Team,1953630
Bronze Medal,3,SARAIVA Flavia,Female,Brazil,Artistic Gymnastics,Women's Team,1953620
Bronze Medal,3,SOARES Julia,Female,Brazil,Artistic Gymnastics,Women's Team,1953626
Gold Medal,1,FIAMINGO Rossella,Female,Italy,Fencing,Women's Épée Team,1924585
Gold Medal,1,RIZZI Giulia,Female,Italy,Fencing,Women's Épée Team,1924588
Gold Medal,1,SANTUCCIO Alberta,Female,Italy,Fencing,Women's Épée Team,1924587
Gold Medal,1,NAVARRIA Mara,Female,Italy,Fencing,Women's Épée Team,1924586
Silver Medal,2,VITALIS Coraline,Female,France,Fencing,Women's Épée Team,1916182
Silver Medal,2,MALLO-BRETON Auriane,Female,France,Fencing,Women's Épée Team,1916183
Silver Medal,2,CANDASSAMY Marie-Florence,Female,France,Fencing,Women's Épée Team,1916184
Silver Medal,2,LOUIS-MARIE Alexandra,Female,France,Fencing,Women's Épée Team,1916185
Bronze Medal,3,KNAPIK-MIAZGA Renata,Female,Poland,Fencing,Women's Épée Team,1894213
Bronze Medal,3,SWATOWSKA-WENGLARCZYK Martyna,Female,Poland,Fencing,Women's Épée Team,1894214
Bronze Medal,3,KLASIK Alicja,Female,Poland,Fencing,Women's Épée Team,1894223
Bronze Medal,3,JARECKA Aleksandra,Female,Poland,Fencing,Women's Épée Team,1894217
Gold Medal,1,POURI-LANE Risi,Female,New Zealand,Rugby Sevens,Women,1926596
Gold Medal,1,MILLER Jorja,Female,New Zealand,Rugby Sevens,Women,1926667
Gold Medal,1,WAAKA Stacey,Female,New Zealand,Rugby Sevens,Women,1926592
Gold Medal,1,NUKU Manaia,Female,New Zealand,Rugby Sevens,Women,1926629
Gold Medal,1,HIRINI Sarah,Female,New Zealand,Rugby Sevens,Women,1926632
Gold Medal,1,BLYDE Michaela,Female,New Zealand,Rugby Sevens,Women,1926635
Gold Medal,1,KING Tyla,Female,New Zealand,Rugby Sevens,Women,1926644
Gold Medal,1,PAUL Mahina,Female,New Zealand,Rugby Sevens,Women,1926676
Gold Medal,1,FELIX-HOTHAM Jazmin,Female,New Zealand,Rugby Sevens,Women,1926634
Gold Medal,1,SETEFANO Theresa,Female,New Zealand,Rugby Sevens,Women,1926647
Gold Medal,1,WOODMAN-WICKLIFFE Portia,Female,New Zealand,Rugby Sevens,Women,1926646
Gold Medal,1,SAILI Alena,Female,New Zealand,Rugby Sevens,Women,1926593
Silver Medal,2,CROSSLEY Caroline,Female,Canada,Rugby Sevens,Women,1960779
Silver Medal,2,APPS Olivia,Female,Canada,Rugby Sevens,Women,1960762
Silver Medal,2,CORRIGAN Alysha,Female,Canada,Rugby Sevens,Women,1960778
Silver Medal,2,HOGAN-ROCHESTER Asia,Female,Canada,Rugby Sevens,Women,1960797
Silver Medal,2,DANIELS Chloe,Female,Canada,Rugby Sevens,Women,1960781
Silver Medal,2,WILLIAMS Charity,Female,Canada,Rugby Sevens,Women,1960837
Silver Medal,2,SYMONDS Florence,Female,Canada,Rugby Sevens,Women,1960826
Silver Medal,2,NORSTEN Carissa,Female,Canada,Rugby Sevens,Women,1960812
Silver Medal,2,SCURFIELD Krissy,Female,Canada,Rugby Sevens,Women,1960822
Silver Medal,2,BERMUDEZ Fancy,Female,Canada,Rugby Sevens,Women,1960765
Silver Medal,2,LOGAN Piper,Female,Canada,Rugby Sevens,Women,1960803
Silver Medal,2,WARDLEY Keyara,Female,Canada,Rugby Sevens,Women,1960834
Silver Medal,2,PERRY Taylor,Female,Canada,Rugby Sevens,Women,1960817
Silver Medal,2,VALENZUELA Shalaya,Female,Canada,Rugby Sevens,Women,1960832
Bronze Medal,3,RAMSEY Ariana,Female,United States,Rugby Sevens,Women,1950500
Bronze Medal,3,MAHER Ilona,Female,United States,Rugby Sevens,Women,1950498
Bronze Medal,3,CANETT Kayla,Female,United States,Rugby Sevens,Women,1950485
Bronze Medal,3,SULLIVAN Sammy,Female,United States,Rugby Sevens,Women,1950504
Bronze Medal,3,KELTER Alev,Female,United States,Rugby Sevens,Women,1950494
Bronze Medal,3,DOYLE Lauren,Female,United States,Rugby Sevens,Women,1950487
Bronze Medal,3,TAPPER Naya,Female,United States,Rugby Sevens,Women,1950505
Bronze Medal,3,SEDRICK Alex,Female,United States,Rugby Sevens,Women,1950502
Bronze Medal,3,OLSEN Alena,Female,United States,Rugby Sevens,Women,1950499
Bronze Medal,3,ROVETTI Steph,Female,United States,Rugby Sevens,Women,1950501
Bronze Medal,3,LEVY Sarah,Female,United States,Rugby Sevens,Women,1950496
Bronze Medal,3,KIRSHE Kristi,Female,United States,Rugby Sevens,Women,1950495
Gold Medal,1,ARUNOVIC Zorana,Female,Serbia,Shooting,10m Air Pistol Mixed Team,1956347
Gold Medal,1,MIKEC Damir,Male,Serbia,Shooting,10m Air Pistol Mixed Team,1956356
Silver Medal,2,TARHAN Sevval Ilayda,Female,Türkiye,Shooting,10m Air Pistol Mixed Team,1564886
Silver Medal,2,DIKEC Yusuf,Male,Türkiye,Shooting,10m Air Pistol Mixed Team,1564893
Bronze Medal,3,BHAKER Manu,Female,India,Shooting,10m Air Pistol Mixed Team,1538159
Bronze Medal,3,SINGH Sarabjot,Male,India,Shooting,10m Air Pistol Mixed Team,1545464
Gold Medal,1,GUY James,Male,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,1903552
Gold Medal,1,McMILLAN Jack,Male,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,1903602
Gold Medal,1,BIRD Kieran,Male,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,1903531
Gold Medal,1,DEAN Tom,Male,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,1903546
Gold Medal,1,RICHARDS Matthew,Male,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,1903617
Gold Medal,1,SCOTT Duncan,Male,Great Britain,Swimming,Men's 4 x 200m Freestyle Relay,1903621
Silver Medal,2,KIBLER Drew,Male,United States,Swimming,Men's 4 x 200m Freestyle Relay,1935931
Silver Medal,2,CURRY Brooks,Male,United States,Swimming,Men's 4 x 200m Freestyle Relay,1935887
Silver Medal,2,PIERONI Blake,Male,United States,Swimming,Men's 4 x 200m Freestyle Relay,1935968
Silver Medal,2,GUILIANO Chris,Male,United States,Swimming,Men's 4 x 200m Freestyle Relay,1935911
Silver Medal,2,FOSTER Carson,Male,United States,Swimming,Men's 4 x 200m Freestyle Relay,1935903
Silver Medal,2,HOBSON Luke,Male,United States,Swimming,Men's 4 x 200m Freestyle Relay,1935918
Silver Medal,2,SMITH Kieran,Male,United States,Swimming,Men's 4 x 200m Freestyle Relay,1935982
Bronze Medal,3,TAYLOR Kai,Male,Australia,Swimming,Men's 4 x 200m Freestyle Relay,1946196
Bronze Medal,3,INCERTI Zac,Male,Australia,Swimming,Men's 4 x 200m Freestyle Relay,1946237
Bronze Medal,3,SOUTHAM Flynn,Male,Australia,Swimming,Men's 4 x 200m Freestyle Relay,1946179
Bronze Medal,3,NEILL Thomas,Male,Australia,Swimming,Men's 4 x 200m Freestyle Relay,1946231
Bronze Medal,3,GIULIANI Maximillian,Male,Australia,Swimming,Men's 4 x 200m Freestyle Relay,1946211
Bronze Medal,3,WINNINGTON Elijah,Male,Australia,Swimming,Men's 4 x 200m Freestyle Relay,1946172
Gold Medal,1,WANG Chuqin,Male,China,Table Tennis,Mixed Doubles,1902301
Gold Medal,1,SUN Yingsha,Female,China,Table Tennis,Mixed Doubles,1902313
Silver Medal,2,RI Jong Sik,Male,DPR Korea,Table Tennis,Mixed Doubles,1980143
Silver Medal,2,KIM Kum Yong,Female,DPR Korea,Table Tennis,Mixed Doubles,1980142
Bronze Medal,3,LIM Jonghoon,Male,Korea,Table Tennis,Mixed Doubles,1936429
Bronze Medal,3,SHIN Yubin,Female,Korea,Table Tennis,Mixed Doubles,1936435
Gold Medal,1,CHEN Yuxi,Female,China,Diving,Women's Synchronised 10m Platform,1901544
Gold Medal,1,QUAN Hongchan,Female,China,Diving,Women's Synchronised 10m Platform,1901545
Silver Medal,2,JO Jin Mi,Female,DPR Korea,Diving,Women's Synchronised 10m Platform,1980116
Silver Medal,2,KIM Mi Rae,Female,DPR Korea,Diving,Women's Synchronised 10m Platform,1980115
Bronze Medal,3,SPENDOLINI SIRIEIX Andrea,Female,Great Britain,Diving,Women's Synchronised 10m Platform,1900855
Bronze Medal,3,TOULSON Lois,Female,Great Britain,Diving,Women's Synchronised 10m Platform,1900856
Gold Medal,1,GU Bongil,Male,Korea,Fencing,Men's Sabre Team,1927116
Gold Medal,1,OH Sanguk,Male,Korea,Fencing,Men's Sabre Team,1927149
Gold Medal,1,PARK Sangwon,Male,Korea,Fencing,Men's Sabre Team,1927151
Gold Medal,1,DO Gyeongdong,Male,Korea,Fencing,Men's Sabre Team,1927115
Silver Medal,2,GEMESI Csanad,Male,Hungary,Fencing,Men's Sabre Team,1946361
Silver Medal,2,SZILAGYI Aron,Male,Hungary,Fencing,Men's Sabre Team,1946565
Silver Medal,2,SZATMARI Andras,Male,Hungary,Fencing,Men's Sabre Team,1946558
Silver Medal,2,RABB Krisztian,Male,Hungary,Fencing,Men's Sabre Team,1946444
Bronze Medal,3,APITHY Bolade,Male,France,Fencing,Men's Sabre Team,1916230
Bronze Medal,3,PIANFETTI Maxime,Male,France,Fencing,Men's Sabre Team,1916231
Bronze Medal,3,PATRICE Sebastien,Male,France,Fencing,Men's Sabre Team,1916232
Bronze Medal,3,PATRICE Jean-Philippe,Male,France,Fencing,Men's Sabre Team,1916234
Gold Medal,1,van LIEROP Lennart,Male,Netherlands,Rowing,Men's Quadruple Sculls,1965580
Gold Medal,1,FLORIJN Finn,Male,Netherlands,Rowing,Men's Quadruple Sculls,1965600
Gold Medal,1,WIETEN Tone,Male,Netherlands,Rowing,Men's Quadruple Sculls,1965586
Gold Medal,1,METSEMAKERS Koen,Male,Netherlands,Rowing,Men's Quadruple Sculls,1965584
Silver Medal,2,CHIUMENTO Luca,Male,Italy,Rowing,Men's Quadruple Sculls,1547863
Silver Medal,2,RAMBALDI Luca,Male,Italy,Rowing,Men's Quadruple Sculls,1560781
Silver Medal,2,PANIZZA Andrea,Male,Italy,Rowing,Men's Quadruple Sculls,1547871
Silver Medal,2,GENTILI Giacomo,Male,Italy,Rowing,Men's Quadruple Sculls,1947115
Bronze Medal,3,CZAJA Dominik,Male,Poland,Rowing,Men's Quadruple Sculls,1928529
Bronze Medal,3,BISKUP Mateusz,Male,Poland,Rowing,Men's Quadruple Sculls,1928520
Bronze Medal,3,ZIETARSKI Miroslaw,Male,Poland,Rowing,Men's Quadruple Sculls,1928551
Bronze Medal,3,BARANSKI Fabian,Male,Poland,Rowing,Men's Quadruple Sculls,1928530
Gold Medal,1,HENRY Lauren,Female,Great Britain,Rowing,Women's Quadruple Sculls,1901074
Gold Medal,1,SCOTT Hannah,Female,Great Britain,Rowing,Women's Quadruple Sculls,1901091
Gold Medal,1,ANDERSON Lola,Female,Great Britain,Rowing,Women's Quadruple Sculls,1901027
Gold Medal,1,BRAYSHAW Georgina,Female,Great Britain,Rowing,Women's Quadruple Sculls,1901039
Silver Medal,2,YOUSSIFOU Laila,Female,Netherlands,Rowing,Women's Quadruple Sculls,1965563
Silver Medal,2,PAULIS Bente,Female,Netherlands,Rowing,Women's Quadruple Sculls,1965565
Silver Medal,2,de JONG Roos,Female,Netherlands,Rowing,Women's Quadruple Sculls,1965572
Silver Medal,2,DULLEMANS Tessa,Female,Netherlands,Rowing,Women's Quadruple Sculls,1965573
Bronze Medal,3,VOELZ Maren,Female,Germany,Rowing,Women's Quadruple Sculls,1906511
Bronze Medal,3,SCHENDEKEHL Tabea,Female,Germany,Rowing,Women's Quadruple Sculls,1906506
Bronze Medal,3,MENZEL Leonie,Female,Germany,Rowing,Women's Quadruple Sculls,1906494
Bronze Medal,3,GREITEN Pia,Female,Germany,Rowing,Women's Quadruple Sculls,1906483
Gold Medal,1,SCRUGGS Lauren,Female,United States,Fencing,Women's Foil Team,1950643
Gold Medal,1,KIEFER Lee,Female,United States,Fencing,Women's Foil Team,1950611
Gold Medal,1,DUBROVICH Jacqueline,Female,United States,Fencing,Women's Foil Team,1950584
Gold Medal,1,WEINTRAUB Maia Mei,Female,United States,Fencing,Women's Foil Team,1950659
Silver Medal,2,ERRIGO Arianna,Female,Italy,Fencing,Women's Foil Team,1924276
Silver Medal,2,FAVARETTO Martina,Female,Italy,Fencing,Women's Foil Team,1924277
Silver Medal,2,VOLPI Alice,Female,Italy,Fencing,Women's Foil Team,1924275
Silver Medal,2,PALUMBO Francesca,Female,Italy,Fencing,Women's Foil Team,1924279
Bronze Medal,3,AZUMA Sera,Female,Japan,Fencing,Women's Foil Team,1896544
Bronze Medal,3,UENO Yuka,Female,Japan,Fencing,Women's Foil Team,1896545
Bronze Medal,3,MIYAWAKI Karin,Female,Japan,Fencing,Women's Foil Team,1896517
Bronze Medal,3,KIKUCHI Komaki,Female,Japan,Fencing,Women's Foil Team,1896535
Gold Medal,1,CORNEA Andrei Sebastian,Male,Romania,Rowing,Men's Double Sculls,1551186
Gold Medal,1,ENACHE Marian Florian,Male,Romania,Rowing,Men's Double Sculls,1551238
Silver Medal,2,TWELLAAR Melvin,Male,Netherlands,Rowing,Men's Double Sculls,1965589
Silver Medal,2,BROENINK Stef,Male,Netherlands,Rowing,Men's Double Sculls,1965588
Bronze Medal,3,LYNCH Daire,Male,Ireland,Rowing,Men's Double Sculls,1544454
Bronze Medal,3,DOYLE Phili,Male,Ireland,Rowing,Men's Double Sculls,1543317
Gold Medal,1,MEAD Nick,Male,United States,Rowing,Men's Four,1944727
Gold Medal,1,BEST Justin,Male,United States,Rowing,Men's Four,1944631
Gold Medal,1,GRADY Michael,Male,United States,Rowing,Men's Four,1944681
Gold Medal,1,CORRIGAN Liam,Male,United States,Rowing,Men's Four,1944652
Silver Medal,2,MACLEAN Ollie,Male,New Zealand,Rowing,Men's Four,1927001
Silver Medal,2,ULLRICH Logan,Male,New Zealand,Rowing,Men's Four,1927020
Silver Medal,2,MURRAY Tom,Male,New Zealand,Rowing,Men's Four,1927019
Silver Medal,2,MACDONALD Matt,Male,New Zealand,Rowing,Men's Four,1926991
Bronze Medal,3,WILKES Oliver,Male,Great Britain,Rowing,Men's Four,1901100
Bronze Medal,3,AMBLER David,Male,Great Britain,Rowing,Men's Four,1901026
Bronze Medal,3,ALDRIDGE Matt,Male,Great Britain,Rowing,Men's Four,1901025
Bronze Medal,3,DAVIDSON Freddie,Male,Great Britain,Rowing,Men's Four,1901050
Gold Medal,1,FRANCIS Brooke,Female,New Zealand,Rowing,Women's Double Sculls,1927028
Gold Medal,1,SPOORS Lucy,Female,New Zealand,Rowing,Women's Double Sculls,1927024
Silver Medal,2,BODNAR Ancuta,Female,Romania,Rowing,Women's Double Sculls,1550303
Silver Medal,2,RADIS Simona,Female,Romania,Rowing,Women's Double Sculls,1550560
Bronze Medal,3,HODGKINS BYRNE Mathilda,Female,Great Britain,Rowing,Women's Double Sculls,1901075
Bronze Medal,3,WILDE Rebecca,Female,Great Britain,Rowing,Women's Double Sculls,1901099
Gold Medal,1,OLDENBURG Marloes,Female,Netherlands,Rowing,Women's Four,1965560
Gold Medal,1,DRENTH Hermijntje,Female,Netherlands,Rowing,Women's Four,1965567
Gold Medal,1,OFFEREINS Tinka,Female,Netherlands,Rowing,Women's Four,1965566
Gold Medal,1,BOONSTRA Benthe,Female,Netherlands,Rowing,Women's Four,1965557
Silver Medal,2,GLOVER Helen,Female,Great Britain,Rowing,Women's Four,1901028
Silver Medal,2,BOOTH Esme,Female,Great Britain,Rowing,Women's Four,1901037
Silver Medal,2,REDGRAVE Sam,Female,Great Britain,Rowing,Women's Four,1901086
Silver Medal,2,SHORTEN Rebecca,Female,Great Britain,Rowing,Women's Four,1901092
Bronze Medal,3,GOWLER Jackie,Female,New Zealand,Rowing,Women's Four,1926998
Bronze Medal,3,SPOORS Phoebe,Female,New Zealand,Rowing,Women's Four,1927007
Bronze Medal,3,WADDY Davina,Female,New Zealand,Rowing,Women's Four,1927003
Bronze Medal,3,WILLIAMS Kerri,Female,New Zealand,Rowing,Women's Four,1926999
Gold Medal,1,PALLISTER Lani,Female,Australia,Swimming,Women's 4 x 200m Freestyle Relay,1946201
Gold Medal,1,PERKINS Jamie,Female,Australia,Swimming,Women's 4 x 200m Freestyle Relay,1946188
Gold Medal,1,THROSSELL Brianna,Female,Australia,Swimming,Women's 4 x 200m Freestyle Relay,1946157
Gold Medal,1,JACK Shayna,Female,Australia,Swimming,Women's 4 x 200m Freestyle Relay,1946227
Gold Medal,1,O'CALLAGHAN Mollie,Female,Australia,Swimming,Women's 4 x 200m Freestyle Relay,1946218
Gold Medal,1,TITMUS Ariarne,Female,Australia,Swimming,Women's 4 x 200m Freestyle Relay,1946150
Silver Medal,2,PEPLOWSKI Anna,Female,United States,Swimming,Women's 4 x 200m Freestyle Relay,1935967
Silver Medal,2,GEMMELL Erin,Female,United States,Swimming,Women's 4 x 200m Freestyle Relay,1935907
Silver Medal,2,MANUEL Simone,Female,United States,Swimming,Women's 4 x 200m Freestyle Relay,1935945
Silver Medal,2,SHACKELL Alex,Female,United States,Swimming,Women's 4 x 200m Freestyle Relay,1935979
Silver Medal,2,LEDECKY Katie,Female,United States,Swimming,Women's 4 x 200m Freestyle Relay,1935938
Silver Medal,2,MADDEN Paige,Female,United States,Swimming,Women's 4 x 200m Freestyle Relay,1935943
Silver Medal,2,WEINSTEIN Claire,Female,United States,Swimming,Women's 4 x 200m Freestyle Relay,1936000
Bronze Medal,3,TANG Muhan,Female,China,Swimming,Women's 4 x 200m Freestyle Relay,1945224
Bronze Medal,3,KONG Yaqi,Female,China,Swimming,Women's 4 x 200m Freestyle Relay,1945222
Bronze Medal,3,GE Chutong,Female,China,Swimming,Women's 4 x 200m Freestyle Relay,1945171
Bronze Medal,3,LIU Yaxin,Female,China,Swimming,Women's 4 x 200m Freestyle Relay,1945223
Bronze Medal,3,LI Bingjie,Female,China,Swimming,Women's 4 x 200m Freestyle Relay,1945169
Bronze Medal,3,YANG Junxuan,Female,China,Swimming,Women's 4 x 200m Freestyle Relay,1945159
Gold Medal,1,LIM Sihyeon,Female,Korea,Archery,Mixed Team,1902147
Gold Medal,1,KIM Woojin,Male,Korea,Archery,Mixed Team,1902135
Silver Medal,2,KROPPEN Michelle,Female,Germany,Archery,Mixed Team,1553258
Silver Medal,2,UNRUH Florian,Male,Germany,Archery,Mixed Team,1553249
Bronze Medal,3,KAUFHOLD Casey,Female,United States,Archery,Mixed Team,1955601
Bronze Medal,3,ELLISON Brady,Male,United States,Archery,Mixed Team,1955595
Gold Medal,1,ZHENG Si Wei,Male,China,Badminton,Mixed Doubles,1913418
Gold Medal,1,HUANG Ya Qiong,Female,China,Badminton,Mixed Doubles,1913432
Silver Medal,2,KIM Won Ho,Male,Korea,Badminton,Mixed Doubles,1891507
Silver Medal,2,JEONG Na Eun,Female,Korea,Badminton,Mixed Doubles,1891502
Bronze Medal,3,WATANABE Yuta,Male,Japan,Badminton,Mixed Doubles,1541614
Bronze Medal,3,HIGASHINO Arisa,Female,Japan,Badminton,Mixed Doubles,1541619
Gold Medal,1,LONG Daoyi,Male,China,Diving,Men's Synchronised 3m Springboard,1901551
Gold Medal,1,WANG Zongyuan,Male,China,Diving,Men's Synchronised 3m Springboard,1901549
Silver Medal,2,CELAYA HERNANDEZ Juan Manuel,Male,Mexico,Diving,Men's Synchronised 3m Springboard,1536197
Silver Medal,2,OLVERA IBARRA Osmar,Male,Mexico,Diving,Men's Synchronised 3m Springboard,1535349
Bronze Medal,3,HARDING Anthony,Male,Great Britain,Diving,Men's Synchronised 3m Springboard,1900840
Bronze Medal,3,LAUGHER Jack,Male,Great Britain,Diving,Men's Synchronised 3m Springboard,1900848
Gold Medal,1,BRASH Scott,Male,Great Britain,Equestrian,Jumping Team,1970891
Gold Medal,1,CHARLES Harry,Male,Great Britain,Equestrian,Jumping Team,1970896
Gold Medal,1,MAHER Ben,Male,Great Britain,Equestrian,Jumping Team,1979168
Gold Medal,1,STOCKDALE Joseph,Male,Great Britain,Equestrian,Jumping Team,1970925
Silver Medal,2,WARD McLain,Male,United States,Equestrian,Jumping Team,1951875
Silver Medal,2,FARRINGTON Kent,Male,United States,Equestrian,Jumping Team,1951819
Silver Medal,2,KRAUT Laura,Female,United States,Equestrian,Jumping Team,1951840
Silver Medal,2,COOK Karl,Male,United States,Equestrian,Jumping Team,1951802
Bronze Medal,3,,,,Equestrian,Jumping Team,1899865
Bronze Medal,3,DELESTRE Simon,Male,France,Equestrian,Jumping Team,1899843
Bronze Medal,3,EPAILLARD Julien,Male,France,Equestrian,Jumping Team,1899845
Bronze Medal,3,PERREAU Olivier,Male,France,Equestrian,Jumping Team,1899856
Gold Medal,1,SIKLOSI Gergely,Male,Hungary,Fencing,Men's Épée Team,1946450
Gold Medal,1,KOCH Mate Tamas,Male,Hungary,Fencing,Men's Épée Team,1946370
Gold Medal,1,ANDRASFI Tibor,Male,Hungary,Fencing,Men's Épée Team,1946278
Gold Medal,1,NAGY David,Male,Hungary,Fencing,Men's Épée Team,1946379
Silver Medal,2,KANO Koki,Male,Japan,Fencing,Men's Épée Team,1896548
Silver Medal,2,MINOBE Kazuyasu,Male,Japan,Fencing,Men's Épée Team,1896554
Silver Medal,2,YAMADA Masaru,Male,Japan,Fencing,Men's Épée Team,1896549
Silver Medal,2,KOMATA Akira,Male,Japan,Fencing,Men's Épée Team,1896538
Bronze Medal,3,BERAN Jiri,Male,Czechia,Fencing,Men's Épée Team,1914523
Bronze Medal,3,JURKA Jakub,Male,Czechia,Fencing,Men's Épée Team,1914535
Bronze Medal,3,RUBES Martin,Male,Czechia,Fencing,Men's Épée Team,1914540
Bronze Medal,3,CUPR Michal,Male,Czechia,Fencing,Men's Épée Team,1914531
Gold Medal,1,Mc CARTHY Fintan,Male,Ireland,Rowing,Lightweight Men's Double Sculls,1543322
Gold Medal,1,O DONOVAN Paul,Male,Ireland,Rowing,Lightweight Men's Double Sculls,1572444
Silver Medal,2,OPPO Stefano,Male,Italy,Rowing,Lightweight Men's Double Sculls,1547870
Silver Medal,2,SOARES Gabriel,Male,Italy,Rowing,Lightweight Men's Double Sculls,1547873
Bronze Medal,3,PAPAKONSTANTINOU Antonios,Male,Greece,Rowing,Lightweight Men's Double Sculls,1977132
Bronze Medal,3,GKAIDATZIS Petros,Male,Greece,Rowing,Lightweight Men's Double Sculls,1977153
Gold Medal,1,CRAIG Emily,Female,Great Britain,Rowing,Lightweight Women's Double Sculls,1901048
Gold Medal,1,GRANT Imogen,Female,Great Britain,Rowing,Lightweight Women's Double Sculls,1901071
Silver Medal,2,van GRONINGEN Gianina Elena,Female,Romania,Rowing,Lightweight Women's Double Sculls,1550661
Silver Medal,2,COZMIUC Ionela Livia,Female,Romania,Rowing,Lightweight Women's Double Sculls,1550384
Bronze Medal,3,KONTOU Dimitra,Female,Greece,Rowing,Lightweight Women's Double Sculls,1977101
Bronze Medal,3,FITSIOU Zoi,Female,Greece,Rowing,Lightweight Women's Double Sculls,1977159
Gold Medal,1,SINKOVIC Martin,Male,Croatia,Rowing,Men's Pair,1916685
Gold Medal,1,SINKOVIC Valent,Male,Croatia,Rowing,Men's Pair,1921490
Silver Medal,2,WYNNE-GRIFFITH Oliver,Male,Great Britain,Rowing,Men's Pair,1901101
Silver Medal,2,GEORGE Tom,Male,Great Britain,Rowing,Men's Pair,1901066
Bronze Medal,3,ROEOESLI Roman,Male,Switzerland,Rowing,Men's Pair,1977804
Bronze Medal,3,GULICH Andrin,Male,Switzerland,Rowing,Men's Pair,1976556
Gold Medal,1,CLEVERING Ymkje,Female,Netherlands,Rowing,Women's Pair,1965559
Gold Medal,1,MEESTER Veronique,Female,Netherlands,Rowing,Women's Pair,1965556
Silver Medal,2,VRINCEANU Ioana,Female,Romania,Rowing,Women's Pair,1550789
Silver Medal,2,ANGHEL Roxana,Female,Romania,Rowing,Women's Pair,1550289
Bronze Medal,3,MORRISON Jess,Female,Australia,Rowing,Women's Pair,1945670
Bronze Medal,3,McINTYRE Annabelle,Female,Australia,Rowing,Women's Pair,1945644
Gold Medal,1,BOTIN le CHEVER Diego,Male,Spain,Sailing,Men's Skiff,1959270
Gold Medal,1,TRITTEL PAUL Florian,Male,Spain,Sailing,Men's Skiff,1959294
Silver Medal,2,McHARDIE Isaac,Male,New Zealand,Sailing,Men's Skiff,1918833
Silver Medal,2,McKENZIE William,Male,New Zealand,Sailing,Men's Skiff,1918834
